,SYMBOL,COMPANY NAME
516,EDELWEISS.NS,Edelweiss Financial Services Limited
517,SYMPHONY.NS,Symphony Limited
518,INOXINDIA.NS,INOX India Limited
519,KIRLPNU.NS,Kirloskar Pneumatic Company Limited
520,BAJAJELEC.NS,Bajaj Electricals Limited
521,CHOICEIN.NS,Choice International Limited
522,VIJAYA.NS,Vijaya Diagnostic Centre Limited
523,PURVA.NS,Puravankara Limited
524,SAREGAMA.NS,Saregama India Limited
525,KPIGREEN.NS,KPI Green Energy Limited
526,ISGEC.NS,Isgec Heavy Engineering Limited
527,PNGJL.NS,P N Gadgil Jewellers Limited
528,PRSMJOHNSN.NS,Prism Johnson Limited
529,ITDCEM.NS,ITD Cementation India Limited
530,CHENNPETRO.NS,Chennai Petroleum Corporation Limited
531,ROUTE.NS,ROUTE MOBILE LIMITED
532,GPPL.NS,Gujarat Pipavav Port Limited
533,JKLAKSHMI.NS,JK Lakshmi Cement Limited
534,SENCO.NS,Senco Gold Limited
535,ARVIND.NS,Arvind Limited
536,JUSTDIAL.NS,Just Dial Limited
537,TIMETECHNO.NS,Time Technoplast Limited
538,LATENTVIEW.NS,Latent View Analytics Limited
539,ESABINDIA.NS,Esab India Limited
540,CERA.NS,Cera Sanitaryware Limited
541,SANSERA.NS,Sansera Engineering Limited
542,ABDL.NS,Allied Blenders and Distillers Limited
543,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited
544,LEMONTREE.NS,Lemon Tree Hotels Limited
545,RTNINDIA.NS,RattanIndia Enterprises Limited
546,TRIVENI.NS,Triveni Engineering & Industries Limited
547,RUSTOMJEE.NS,Keystone Realtors Limited
548,RENUKA.NS,Shree Renuka Sugars Limited
549,POWERMECH.NS,Power Mech Projects Limited
550,SBFC.NS,SBFC Finance Limited
551,SHRIPISTON.NS,Shriram Pistons & Rings Limited
552,SYRMA.NS,Syrma SGS Technology Limited
553,MAXESTATES.NS,Max Estates Limited
554,JLHL.NS,Jupiter Life Line Hospitals Limited
555,VMART.NS,V-Mart Retail Limited
556,RCF.NS,Rashtriya Chemicals and Fertilizers Limited
557,BIRLACORPN.NS,Birla Corporation Limited
558,THOMASCOOK.NS,Thomas Cook  (India)  Limited
559,SFL.NS,Sheela Foam Limited
560,CAMPUS.NS,Campus Activewear Limited
561,DBREALTY.NS,Valor Estate Limited
562,GANESHHOUC.NS,Ganesh Housing Corporation Limited
563,EPIGRAL.NS,Epigral Limited
564,MASTEK.NS,Mastek Limited
565,GRWRHITECH.NS,Garware Hi-Tech Films Limited
566,AURIONPRO.NS,Aurionpro Solutions Limited
567,HGINFRA.NS,H.G. Infra Engineering Limited
568,CCL.NS,CCL Products (India) Limited
569,LLOYDSENGG.NS,LLOYDS ENGINEERING WORKS LIMITED
570,EPL.NS,EPL Limited
571,ASKAUTOLTD.NS,ASK Automotive Limited
572,GMRP&UI.NS,GMR Power and Urban Infra Limited
573,TEXRAIL.NS,Texmaco Rail & Engineering Limited
574,FDC.NS,FDC Limited
575,CMSINFO.NS,CMS Info Systems Limited
576,RATEGAIN.NS,Rategain Travel Technologies Limited
577,AZAD.NS,Azad Engineering Limited
